,n,Labels,comment_text
28,72.0,1,långt ifrån alla västerlänningar nyttjar alkohol och många gör det i slutna sammanhang som i hemmet eller på parmiddagar och liknande  en liten klick går på nattklubbar och liknande    dessa terror mussar dricker och går på krogen för att dom gillar det och inte för att dölja några diaboliska planer    kanske därför dom överkompenserar i andra fall  som hur dom klär sina döttrar  slår sina fruar eller kör lastbil i allahs namn
29,,1,klantigt egentligen om han menade många skulle dö att göra det utmed en gågate som folk bara kan springa in vid affärer och ta skydd
30,40.0,0,det skrevs i tråden för nån timme sen att det inte var han utan att den killen hade släppts  samma inlägg påstod att avpixlar hade hängt ut fel person  vad är sanning nu då    edit  de inläggen är borta nu
31,40.0,0,skadade varav  allvarligt skadade har de sagt i nyhetssändningarna     enligt ab så ska den anhållne mannen ha rekognoserat före gårdagens terrordåd  och om det stämmer så handlar det inte om stundens ingivelse utan om att det är planerat sedan tidigare
32,51.0,0,anledningen att inga fler dödsoffer bekräftas är att det spelar ingen roll om en person kommer in i en icakasse  en läkare måste dödsförklara vilket man oftast hör att personen fördes till sjukhus men dödsförklardes senare alternativt avled  så fackligt sätt är man fortfarande vid liv tills någon sagt något annat
33,1.0,0,länk
34,,1,idioter spekulerar jo men om han låser där hade ingenting hänt mm jo nej vi låser alla och det e tydligen lösningen för få bort all terrorism hade det varit bättre om han haft nycklarna i fickan och ingen huggit ihjäl chauffören
35,,1,grattis sverige få rans reporter folk är det klart världens naiva elit är chockad välkomna till verkligheten kräks
36,,1,wtf omöjligt inget talar för att det inte ska med religion att göra står i länken nedan att han uttryckt rädsla för islamska staten på sociala medier Motivet kan helt enkelt vara så att han inte visade sig öppet det eller vara att han är en sim instabil hycklare som sympatiserar med islamiska staten men inte kunnat hålla sig ifrån alkohol
37,35.0,0,absolut  men tänk samtidigt att  minuter är en lång tid     färden med lastbilen var bara  minuter  det räcker med att rätt person ringer trafikverkets ledningscentral så trycker dom på en knapp så blir allt rött
38,41.0,0,fast det här hände runt   tiden och då brukar det vara väldigt lugnt  först efter   börjar det bli fullt    source  jobbar själv mitt i stan och går där regelbundet  helt sjukt  har kontakt med flera kollegor som jobbar där i området
39,6.0,0,vad var det för säkra källor
41,54.0,0,sjukt att det går obemärkt  varför får det hända   alla isis sympatisörer borde punktmarkeras  jobbar dom svart  bra anmäl få bort    vilken moské är dom i  bra  besök och är imanen deras isis propagandör  stäng skiten    något som inte gjorts igår måste utan tvekan göras nu  detta ska inte få hända igen och igen
43,23.0,0,kan ju också vara vittnesmål beträffande klädsel  kroppstyp  arabutseende med mera från massor av människor som sett honom springa från lastbilen efter krocken
45,,1,jag kör själv lastbil och låter biland nycklarna sitta i vid ett öppet fönster på en plats som jag bedömer säker eller minimal risk för att nån nallar lastbilen Via vissa ställen har jag också den bakre med dörren öppen medan porten manövreras där bak via knappar till skåpsidorna detta är då i Nacka med omnejd men efter dagens händelse så må man väl ändra rutinerna har ofta tänkt på när jag står åt lyften i nersänkt läge och stänger dörrarna när motorn är på att nån blatte ska hoppa in och åka iväg med mig på lyften
46,233.0,1,jo  det är rätt vagt och frågan är hur många gånger man har fått sådana tips utan att det har hänt något  skulle det ske t ex  en gång i månaden  så är det ju rätt sannolikt att det klaffar tidsmässigt när det väl sker ett dåd    de svenskarna regeringarna  med stöd av alla pk svenskar  har maniskt fyllt sverige till bristningsgränsen med jihadister  terrorister  krigsförbrytare  grova kriminella o s v  under några årtionden  samtidigt som många tiotals miljarder svenska skattekronor har gått till jihad och terrorism runt om i världen  hur profetisk behöver man vara för att förutse att människor sannolikt kommer bli slaktade under blodiga dåd i sverige som en direkt följd av det  hur osannolikt är det ens att det eventuellt förr eller senare kommer att börja ske blodiga dåd som en motreaktion till det våld som pk svenskarna har skapat i sverige med hjälp av islamister och kriminella från resten av världen  eller att svenska statens politik på området kan möjligtvis någon gång få konsekvenser när det gäller relationerna till andra stater  det krävs knappast övernaturliga krafter  eller detaljerad insyn i underrättelsetjänstsinformation  för att råka lyckas tippa rätt om sådant    missförstå mig inte  det är inte som jag avfärdar det relevanta i det påstådda tipset  jag menar bara att det i sig inte räcker värst långt för att dra några slutsatser om vad man har vetat och inte vetat
47,78.0,0,jo men jag håller med  det kan inte vara så jävla svårt  och det handlar naturligtvis inte om alla som råkar bära en slöja eller tror på allah  utan de som redan som tonåringar sagt och gjort saker som kan verka misstänkta  asociala typer som på nätet  i umgänget  i skolan verkar misstänkta  mer span på vissa grupper alltså och framför allt individer alltså  tror att det är j t många svenska muslimer som är rädda nu också
48,6.0,0,de har väl identifierat tre gärningsmän
49,27.0,0,såg något vittne på tv igår som pratade om att det luktade krutrök  han kanske hade försökt använda krut   som alltså är ett dåligt val för bomber
50,45.0,0,man kan ju även tänka sig att de tidiga rapporterna om skjutningar på annat håll kan vara helt  vanliga  skjutningar som inte har med detta terrordåd att göra  det skjuts ju rätt friskt hela tiden bland kriminella blattar  utan att det har någon direkt terrorkoppling
51,14.0,0,säpo media regeringen måste gå upp med namn och bild på samtliga   isis återvändare
52,,1,den som eftersökts kan ju vara vilken utländsk luffare som helst två har gripits men vilken koppling har dom till dådet klarar inte polisen nu detta kommer allmänhetens förtroendet för polis och regeringsmakten att spricka avsevärt sd
54,,1,Förstår én hel del varför spelet gick så pass dåligt som det gjorde för idioten i lastbilen folk lyfte blicken i tid och fick 14 extra sekunder på sig att ta skydd
55,10.0,0,bra jobbat  men sista filmen funkar ej  url signature expired
56,70.0,0,de agerar strategiskt rätt  från en eller ett fåtal gärningsmän kan allmänheten till fot sätta sig i säkerhet rätt snabbt förutsatt att de försöker   de behöver inte tunnelbana eller bil  samtidigt försvårar man gärningsmännens flykt avsevärt om allmänna kommunikationer försvåras  möjligheten att helt undkomma eller undkomma  så att man kan begå terrordåd med förnyad styrka   ökar betydligt om man snabbt kan ta sig långt från den plats som polisen säkrat
57,,1,stackars brevbärare hur fan kan någon i detta skick skylla på chaffisen jävla 😭
58,8.0,0,riksdagen totalspärrad  hur blir det med sverigebilden nu
59,10.0,0,var det inte att han blev delgiven om misstanke vid
60,31.0,0,han körde rakt in i en byggnad och överlever  fy faan griper dom han så blir det säkert så att han uppger att han är  år och får  år i fängelset
61,,1,men va nu det är väl ändå ens bekräftat att det är hon sjukt vad folk gör för att få klick med sin blogg
62,5.0,0,bild på den efterlyste mannen
64,,1,idioter spekulerar jo men om han låser bilen hade ingenting hänt mm jo tjena vi låser alla bilar Detta blir tydligen lösningen för få bort all terrorism eftersom det varit bättre om han stoppade nycklarna i fickan och terroristen huggit ihjäl inte
65,,1,om en vecka är allt utrett och det var bara en två förbannade och troligtvis utvisningshotade flyktingar utan tillgång till någon som var terrororganisation hos vem som är det
66,22.0,0,presskonferens live   vi kan inte svara på det   vi kan inte kommentera det  varför har ni livesändning och presskonferens för då   puckon
67,58.0,0,terror betyder rädsla    de som gör dessa dåd tänker inte på hur många som ska dö  de vill bara göra skada och att vi ska bli rädda     terror är att skrämmas och få oss att må dåligt som är det viktiga   inte hur många som dör   det var inte fler som dog i london för någon vecka sedan
68,27.0,0,vill ha svar på följande   klicka på länken    rätt startpunkt     sen börjar ni köra ända fram till åhléns  hur lyckades han att inte ta fler med sig
69,13.0,0,nu har insatsstyrkan tydligen gjort ett tillslag i hjulsta och gripit en till
70,4.0,0,källa på fetstil tack
71,23.0,0,samma tillvägagångssätt som i tyskland  förutom att den polska chauffören i tyskland mördades  antagligen gav inte chauffören upp sin lastbil där i tyskland
72,38.0,0,i tidningen står det att polisen    bekräftar att gripandet på kungsholmen har med terroristattacken    förnekar att insatsen i vårby har med terroristattacken     kan vårby insatsen ha med gängskjutningarna att göra  eller har gängen tagit ett breake under terrordagarba
73,6.0,0,kom han hit som flykting  eller
74,13.0,0,tänker mig att personen blivit påkörd av någon annan  i paniken som uppstod
75,16.0,0,ekroth blev kort intervjuad under eftermiddagen  han såg ordentligt sliten ut vid  snåret kan jag meddela
76,52.0,0,jag blev inte det minsta förvånad när jag såg att både rashid musa och alia khalifa dyker upp i umgängeskretsen kring dessa hizb ut tahrir dårar    när man ser hur många av dessa fundamentalister som bor och verkar i sverige så är det märkligt att det inte skett dåd likt gårdagens tidigare
77,51.0,0,han verkar må extremt dåligt  så han är nog sjukskriven från och med måndag ändå  varför liksom klandra han  det värsta han nu föreställde sig kunde hända var väl att någon skulle sno ölen typ  detta finns liksom inte i tanken hos förare  möjligen kanske det måste det tyvärr då numera
78,16.0,0,verkar vara  bra  investerat i grå suggor som inte verkar kunna stoppa mer än en cykel
80,25.0,0,dm har alltså inte lyckats gripa föraren ännu   jag fattar inte hur en person kan meja ner folk i extrem hastighet och sedan komma undan
81,37.0,0,mycket möjligt  men filmen skakar långt före lastbilen kommer fram  och skakar inte heller mer när den precis passerar vilket fäller det argumentet  inte för detta är relevant i övrigt för tråden  men det är ändå underligt
82,14.0,0,polisen har pressträff    blir intressant att se vad för mer information som kommer fram
83,91.0,1,din lilla spyfluga  varför svarade du inte på den jävligt enkla frågan kan du ge ett exempel på när en nation valt att kritisera ett av terror attackerat land innan  timmarna efter ett dåd    du fixade inte det  så dina rakknivar kan du köra upp i den håriga pk röven  här diskuterar vi terrorism  dess koppling till ryssland och att de är frustrerade i sina uttalanden  ta dina propagandapoäng och förpassa dig själv till konspirationstråden    ps  har du problem med tiderna går det bra att läsa mina tidigare inlägg med länkar
84,107.0,0,han på bilderna från tunnelbanan blev alltså jagad när han körde en skåpbil  informationen som gick ut var att han hade irrat omkring i en butik för att sedan gripas nere vid badet i märsta    vad gjorde han nere i tunnelbanan och inte kan han har kört runt i en skåpbil i flera timmar för att sedan snappas upp av polisen  eller är informationen fel i artikeln och detta gäller någon annan    blir ju bara fler frågor än svar tycker jag när man inte går ut på presskonferensen med öppna kort  så pratar dom att man inte ska sprida desinformation då det blir förvirring och försvårar arbetet
85,,1,även här det var allvarligt så kan dödssiffran ändå stigas till över inom de kommande dagarna och finns en mycket stor chans att dödssiffran iallafall kommer åka till minst det är ju ofta så lätt att hänga till i livet när man blivit nermajad under en stor lastbil som kör över en i km fart ni såg ju själv bilderna på halva kroppar delade på mitten så de dom inte blev delade på mitten har säkert var nån fot nåt ben nån arm avhuggen eller några invändiga skador inom sina organ
86,,1,skämtar du med mig ni snackar ju för fan skit sidan efter sida men inget pratas för det enda identifierade händer hittills
87,,1,det är ju terroristen det är inte ens en misstänkt utan polisen vill ha tag i honom bara det är varför polisen vill ha tag i honom tills de säger något annat det gjorde det på svt live men aldrig i spekulations syfte och för gemenskap med berlin och nice finns ingen anledning att gå på skit bara för att du ska lära höra islam eller muslim vad är det för fittiga sverigevänner som tycker att det här skit bra sak fattar ni inte att här är jag som har råkat illa ut ni bryr er inte om landed bara om er samtid och er profet
88,,1,det görs ingen sanning för att en lallare skriver det tänk din bild
89,63.0,0,hizb ut tahrir strävar efter ett kalifat som har damaskus i centrum  bilder på när en kristen stormakt matar kryssningsmissiler mot damaskus kan vara nog för att trigga nån som länge längtat efter att göra nånting  de verkar inte göra nån skillnad mellan religion och politik och ser nog ett kristet angrepp på damaskus i mer religösa termer än en mer normal människa
90,,1,procent av alla män i och mellan stockholm storstad och märsta ser ut som ett arabkamouflage är bästa skyddet tycker sverige nu för tiden
91,65.0,0,är det någon som vet hur det är med dom som blev skadade  var det allvarligt så dödssiffran kan stiga  tänkte ifall någon jobbar på sjukhus eller så    nu är det bara erkänna att trump är ruggigt kunnig    medans andra käftar emot visar det sig att han har rätt gång på gång    här är en viedo där trump hånas   han förtjänar enorm respekt och upprättelse
92,,1,Och tanke på vad som sitter på kumla och hall så har Maria vissa problem med att bli inlagd där det var länge sedan fångarna på Gripsholm heter lars svartensbrandt i majoritet det är i fängelse miljö som många muslimer radikaliseras De flink fick en per mördad människa han hade högre kill rate än den här muhammedanen
93,19.0,0,han kan faktiskt vara helt oskyldig  då är det ju bra att han kontaktar polisen så snabbt som möjligt
94,29.0,0,ofta att det rapporteras om andra händelser i samband med terrordåd  mycket pga panik då det oftast visar sig vara en enskild händelse  men man vet ju inte heller
95,17.0,0,lastrampen är ju lite öppen och har tydliga skrapmarken på sig  men hur fan åkte den upp
97,,1,jag bryr mig inte heller om attacken i stockholm uttalade mig dock om de andra tidningarna i andra länderna eller som jag oroade mig lika mycket som de gjort sig om mina inlägg om mångkulturen islam och den ökande kriminaliteten dvs inte mycket istället var jag skadeglad och man får inget gehör för sina varningar om framtiden verkar inte vara så många skadade ändå bara döda olika uppgifter överallt ska dock bli spännande att se om de får fast gärningsmännen eller kommer underfund med vilka de var av bilderna att döma hade lastbilen rammat som en lejonstenarna som var i början spännande tycker dock om hjältedåd och chauffören verkade försöka stoppa föraren skönt att han inte blev skadad allvarligt
98,9.0,0,ja precis  ödets ironi får man väl kalla det
99,41.0,1,mannen som är gripen är medborgare i uzbekistan enligt expressen  stridit isis grejer på facebook    låter ju väldigt mycket som en terrorist i mina ögon och inget jävla psykfall  nog för att religion i sig är till för psykfall men men
100,17.0,0,är det verkligen så  något mer exempel än     och beror såklart på hur ofta det är övningar
101,23.0,0,jo  kanske  jag menar dock att köra igenom stängslet och sen försöka detonera och vips blir han martyr  men ja  antagligen för problematiskt
102,22.0,1,precis  det här är bara början  eller idioten som bara sprängde sig själv på drottninggatan var början men det räknas väl inte
104,,1,En sorliga förutom alla som drabbats är bara dömda får max år och ute efter livstid här borde vara livstid utan benådning rättsystemet är så jävla vekt att man mår illa
105,9.0,0,polisen har uppenbarligen ingen koll på läget  fyfan alltså
106,,1,fin gräns mellan att kallas muslim och religös no joke
107,59.0,0,ja  varför inte    går man omkring en timme i centrala stockholm passerar man såväl personbilar där folk just parkerar eller ska åka som ett antal lastbilar som lastar    enda skillnaden mot berlin är att lastbilen kapades närmare attentatsplatsen och att chaffisen överlevde    terroristen i london körde en helt vanlig svu liknande bil  finns liknande att kapa i stockholm också
108,45.0,0,japp  och jag är tyvärr så avtrubbad så jag reagerar inte normalt sett för sådana otäcka bilder som har postats  men just denna bild när jag såg att kläderna stämde överens med signalementet i den desperata vädjan som postades på fb gjorde mig väldigt ledsen
109,30.0,0,vid vilken restaurang stals lastbilen  frågan är om gärningsmannen spanat in tider och avlastningsrutiner eller om han har någon koppling till restaurangen som get info  känns inte som någon impulsgärning
110,,1,säpo finns det nån människa i sverige som har förtroende för myndigheter längre säkerhetspolisen haha jo tjenare även om dom kommer ha kompetensen så har dom sällan någons dominans av förtroende att tala om och det är minst lika viktigt svenska myndigheter verkar numera förknippade med genushönor jag har inte förtroende för flashbacks kollektiva medvetande är särpolisen
111,10.0,0,mycket bra fynd  enligt avpixlat så har han dubbel identitet
112,18.0,0,det var väl bara en tidsfråga om det nu inte mot all förmodan är någon form av olycka
113,36.0,1,koncentrationsläger kommer att byggas och muslimer kommer att tillfångatas en efter en    nej känner man sverige rätt så kommer ingenting att hända  det här var ett dåd utfört av en vansinnig man  inte av en muslim
114,68.0,1,personligen tror jag att is är ganska pissed på uzbeken  då is och säpo hade tyst en understanding om att is låter bli att bomba sverige  så får dom vara i fred och planera i sverige  a win win situation    jag tror inte detta var sanktionerat av den muslimska majoriteten i sverige  eller bland is anhängrare  för nu kommer dom få det mycket tuffare i sin fristat sverige
115,20.0,0,enligt vittnesuppgifter hade lastbilen en betong bock som fastnade under bilen  kanske orsakde den skada så något läckt ur lastbilen
116,24.0,0,hade han inte gått in på cicle k och sagt att det var han som gjorde det hade han nog inte gripits så snabbt
117,46.0,0,vet inte om jag följer svensk media mindre bra men fick höra vid  tiden att fem personer var döda via personal på sjukhus men hörde inget i svensk media  nu kommer samma antal döda från utländska medier men jag hör inget från svensk media  vad stämmer
118,6.0,0,fyfan om det är på riktigt
119,,1,sluta snacka skit lägg upp bilder eller håll käften palla inget snack bara för att man vill ha 😉
120,,1,bara genom felaktig särskrivning hår jag svårt att ta dig på allvar jag är personligen inget stort fan av media men jag har svårt ätt tro att man säger att man gripit förövaren fastän man i själva fallen inte har det doesn måste make any sense precis som vanligt tankesätt är ju inte direkt logiskt heller att man klär av hela lägenheten efter ev gärningsman om han ligger sitter avliden i hytten
121,,1,första bilden sitter killen och pekar med sitt högra pekfinger jaha det blir för mamman ska börja jobba dubbla skift nu så hon kan försörja samma barnaskara som idioten inte lämnat henne med
122,56.0,0,en grej jag tänkt på att kanske han inte medvetet valde att köra in i åhlens    meter före åhlens så ligger stora jävla betong lejon mitt i gatan  och dom har han kört på  då kan han bra ha tappa kontrollen och kört in i åhlens byggnaden    för övrigt  fy fan vad lastbilschauffören måste må dåligt
123,,1,vilket ruskigt spöke som svt intervjuade nyss det måste ju vara en lastbilschafför sam fått hjärnblödning och därför tryckt full broms å kört över människorna obekräftade uppgifter minst döda
124,,1,om han på något sätter dömts skyldig är jag det också har lämnat nyckeln i bilen ett antal gånger dessutom gått hemifrån utan att låsa ytterdörren med andra ord hade nån kunnat gå iväg hämtat en kökskniv och sen gått dit och mördat folk nä så som dom du svarade resonerade är fan omänskligt
125,33.0,0,lastbilen kom ju från den minst befolkade delen av drottnnggatan och många kring åhléns  där det är mycket folk hann nog hoppa undan när de såg lastbilen komma  därav de få antal döda
126,25.0,0,här har du motivet till detta    david wood förklarar sakligt och enkelt vad som ligger bakom en dylik attack   vid   i videon är pudelns kärna
127,,1,de var ju for fan riktade mot assad is 😉
129,23.0,0,fast det är inte relevant då personen du citerar babblar om hydraulolja och någon sådan finns inte till bromsarna eftersom de är tryckluftsdrivna
130,,1,även om det är allvarligt menat kan dödssiffran ändå stigas till över 3000 det kommande dagarna och finns en ruskigt stor chans att dödssiffran iallafall kommer åka till minst det är ju inte så lätt att hänga kvar i livet när nian blivit instängd av en hel lastbil som rullar över en i km eller ni såg ju själv bilderna på halva kroppar delade på mitten så de som inte blev behandlade på mitten har säkert fått nån fot nåt ben nån arm till eller några invändiga skador på sina organ
131,41.0,1,idioten bör ju varit där tidigare och spanat    någon som vet hur ofta öl bilen kommer dit och lastar av     en gång i veckan  regelbundet    ökar sannolikheten för större planering    eller beställer man när saker ölet  börja ta slut    mindre planering
132,20.0,0,har du källa på det    i a bladet står det att ett vittne följde efter honom när han lämnade bensinmacken
133,21.0,0,var glad för det    har dem dock i min ägo  så skicka pm om önskas  men det är väldigt väldigt magstarkt
134,9.0,0,nej  det har jag inte sett att någon postat
135,66.0,1,enligt vittnen sägs det att gärningsmannen hade ett svarthyat och elakt utseende  några av de närvarande tänkte stoppa honom när han klev ur lastbilen  men han han lär ha kommit undan genom att kalla dom   jävla rasister   stockholmarna var helt enkelt rädda för gärningsmannen och lät honom springa iväg  nästa gång lär terroristerna vara beväpnade med automatvapen och sprängmedel   då kan vi snacka om verklig terrorism
136,9.0,0,svt se rapporterar att de fått information om skottlossning
137,,1,det du är lite förbannad över är att det sker i stockholm trodde det skulle hända i göteborg först med tanke på andelen is jihadister
138,,1,man kan tro at du är delaktig så mycket som du vill stänga ner sverige inte ens när liknande skedde i london för ett flertal veckor sen så tänkte jag på att du heathrow samma i frankrike osv då du är den mest invalida människa jag skådat på fb vet du vad gå ner i källaren och lås ut luren om du är så sjuk men bidra inte till nerstängningen av sverige
139,,1,nu kliver hjältarna fram o vill visas upp i blaskan mirakelhistorier om folk som va nära att bli påkörda et var inte heller oväntat att de skulle ske då sverige efter frankrike och tyskland hänvisade till media för passar för att blossa upp allt när de får chansen
140,6.0,0,någon kanske har hjälpt honom    f
142,17.0,0,avpixlats påstående att han fått avslag på en asylansökan har inte bekräftats av någon trovärdig källa än
143,,1,ja lite knepigt är det men återigen terroristerna som hade uppenbarligen planerat att spränga ett antal lyckades bara att förneka sig själv staden som terroristerna inte är så illa här i sverige
144,21.0,0,snuten har alltså transporterat lb med bomb i genom sthlm    varför hittas inte den när lb står i åhlenshörnet  grov miss
145,17.0,0,överdriver du inte nu   risken att de skulle ske ett dåd där i helgen är sjukt liten
146,,1,även orri det nu skulle vara fel så kan den vara bra att ha koll på den där tyska vurmaren ändå
147,,1,vet inte om det står i tråden men lastbilen har brunnit en har kört in i korvkiosken dem tömde kulturhuset en kärring och ordvalet måste veta varför man tycker för emot när polisen ger order
148,,1,nu var inte svaret hos dem men det gick ut 1 radio att samma vittne sagt att han var tidigt på plats och de täckte över ett flertal som skulle döda fler än två ja det tycker jag med varför tar aldrig nån upp jakten på terrorsvin eller iallafall gärningsmännen dem
149,7.0,0,tydligen en hel del döda    källa  ekot
150,,1,idiot dom har han gripit flera personer idag
151,80.0,0,jag blir extremt förvånad om det inte vore en muslim som utfört detta fasansfulla dåd     tyvärr är det världen vi lever i i dagsläget  det är fan inte rasistiskt att bekräfta fakta om att majoriteten utav världens terroristattacker utförs utav muslimer     jag hoppas att de som befann sig på plats mår bra iallafall     hoppas också att denna händelse kan få våran naiva regering att öppna sina ögon för verkligheten om att allt inte är frid och fröjd i vårat land
152,10.0,0,någon som vet hur länge han har varit i sverige
153,35.0,0,känd sedan tidigare check  bara att vänta på om avpixlats uppgifter stämmer att han skulle utvisats redan i januari  då blir det två check på hur ineffektiv och rent värdelös svensk polis och rättsväsende är
154,,1,känns inte detta lite för lustigt eller att det ska komma is som ligger bakom detta enligt uppgifter så hoppar han in i en lastbil när chauffören lastar av eller mer som att de är någon invandrare som har tappat det
155,,1,ja att han får släppas är länge bevisen räcker men dessutom innebär det i praktiken om han kan lura i resningsnämnden att han inte är islamist längre så kan helt teoretiskt vara skyldig igen om ca år jag skulle föredra om nyckeln slängdes i i såna här fall men tvivlar på att så blir
156,,1,för att det är alltid samma visa vi bygger ljus hissar flaggor på halv stång tänder ett tak i frankrike politiker går ut och fördömer attentatet redan dagarna efter blir det samma visa om att det absolut är islam det är fel på Säpo måste fördöma handlingen men inte prata om orsakerna till varför det skett det kan leda till motsättningar och rasism jag går händelserna rätt förväg men det ska fan mycket till för att det ändå inte ska vara så en inspirerad islamist man gör sitt för att befästa islams fina budskap
157,18.0,0,han verkar inte vara svensk medborgare och allt annat än livstids utvisning efter avverkat straff måste vara uteslutet
158,11.0,0,första  trams   is har bl a attackerat en moské här innan
159,,1,terrorforskaren egentligen vilket djävla skitsnack det finns visst en metod att motverka muslimska terrorattacker vilket är att inte kritisera alla muslimer i landet till att börja men titta på polen har de mycket problem med muslimsk terrorism neh IS varför
160,8.0,0,identiteten på offren ska fortfarande inte vara fastställda
161,,1,jag tyckte de var för lite blod därav jämförelsen med min
162,74.0,0,chilla lite med vad du skriver  turisten hade en söndertrasad fot  så hon är med allra största sannolikhet vid liv  du kanske tänker på den andra påkörda kvinnan  som också ses ligga vid ett övergångsställe  det är dock inte den kvinna svd skrev om     vad gäller barnet så tror jag att sr s reporter i går rapporterade att barnet skulle vara okej men att mamman var medvetslös  förhoppningsvis går det bra för de båda
163,,1,de nämnde på aftonhoran att min centralen är avstängd nån som vet om det är deras
164,2.0,0,källa tack
165,11.0,0,jag tycker det ser ut som att han försöker undvika cementklumparna
166,,1,man nr som greps i hjulsta vet någon vem babben och och varje land du kommer från ursprungligen papperslös även han som aldrig is någon som greps av märsta eller vilken adress i hjulsta var det tv har bilder även om det är mörkt ute
167,,1,det mycket avpixlat och petterssons blogg och skickat ut en person med bild det är dock en annan som är misstänkt avtrollat bytte bara bild till sin blogg när det gick upp för soporna att det är en misstänkt uzbeker som är misstänkt kanske har de annan bild nu men spelar ingen roll avpixlat är pajasmedia
170,10.0,0,fast det gör ju inte du heller  i ditt inlägg
171,24.0,0,någon som kan förklara hur mannen i lastbilen kunde  försvinna  från platsen  borde onekligen varit ganska många blickar riktade mot lastbilen i det skedet
172,,1,kan gärningsmannen ha rört sig bland offren och spelat skadad han är sannolikt skadad av skotten Vem borde flytt smält mötet med den minst sagt brokiga miljön hur många hoodie turkar i årsåldern med skägg finns inte i centrala stockholm en fredag eftermiddag sl blockerades kort efter händelsen hur långt bör han ha hunnit
174,13.0,0,vk är samma person  håller på att leta igenom ok  men åldern stämmer
175,,1,ändå gick europa och sverige ut och stoppade återigen attacken på bögklubben
176,19.0,0,exakt hunden som låg död hade annan färg än vit såg ut som brun päls och med vit nos
177,34.0,0,om jag varit gärninsmannen har jag valt åhléns för att det rör sig mycket folk däromkring chans till fler skadade och dödsoffer    är det bekräftat att brandlarmet gick igång innan  är det enbart rykten
178,,1,åringen rustam träffade jag med en annan kompis åring från början på typ år sedan redan får se om det är han när min muslimpolare börjar att vakna dom har ju en tendens att sova länge på 😀
179,50.0,0,det är en motsvarighet till vårt korstecken i kristna sfären    inget konstigt  det är ingen is symbol  däremot använder radikala islamister ofta symbolen för att legitimera sin politik med religion    se här   snubben gillar al qaida och hizb ut tahrir  vilket framgår av hans profil på den ryska sociala sajten
180,23.0,0,hytten var ju inte alls mos här bärgas lastbilen föraren fick lite skador och lämnade blod efter sig dna matchar ju bra sen
181,32.0,0,ah jo  eller så använder man fjärrlåset som finns i nio av tio lastbilar      och behöver du ha igång motorn när du använder bakgavelliften så är det dags att byta batteri generator
182,,1,jag tycker vi skickar var en vända på muhammed om dagen i häktet där den ena är mer obekväm än den andra
183,,1,jag tyckte han var för lite blod därav jämförelsen med det
184,14.0,0,hjärntvättad     självklart är bilderna autentiska  och människan med benen utspridda är väldigt väldigt död
